year,min,mean,max,scenario
1850,9.3220215,16.468811,25.696533,historical
1851,9.039581,16.666687,24.27884,historical
1852,9.0234375,16.763275,26.29599,historical
1853,9.134552,16.329376,23.567566,historical
1854,7.422943,16.38861,24.997742,historical
1855,8.664764,16.471191,25.615845,historical
1856,8.679718,16.52301,25.452057,historical
1857,9.640991,16.176453,24.286377,historical
1858,10.752014,16.538757,23.859985,historical
1859,8.50293,16.227509,25.71988,historical
1860,5.433716,15.856079,26.559357,historical
1861,7.0393066,15.736084,25.611023,historical
1862,8.302032,16.225586,24.6055,historical
1863,7.713867,16.272095,26.600128,historical
1864,8.76535,16.093933,24.291412,historical
1865,7.548462,15.731079,25.093048,historical
1866,9.04068,16.515015,24.010803,historical
1867,6.855591,15.167053,23.908234,historical
1868,7.8447876,16.124786,23.188385,historical
1869,7.9647827,16.518066,26.487305,historical
1870,8.587616,17.273804,27.044678,historical
1871,7.790497,16.525574,26.32138,historical
1872,7.764221,15.534454,24.1138,historical
1873,8.661133,16.67273,26.792358,historical
1874,8.316956,16.37732,25.689209,historical
1875,9.574219,16.126587,25.756622,historical
1876,8.713776,16.495728,25.694977,historical
1877,10.004272,15.9088745,25.016113,historical
1878,9.292572,16.784576,25.658844,historical
1879,6.94751,16.442749,25.808044,historical
1880,5.9487305,15.3480835,25.913208,historical
1881,6.21402,15.863434,26.661652,historical
1882,10.088379,16.60669,26.696167,historical
1883,9.090851,15.959534,24.56427,historical
1884,6.990631,15.628937,24.239227,historical
1885,9.545319,16.405334,24.279602,historical
1886,8.378082,15.279144,25.67163,historical
1887,7.9694824,15.654572,22.464233,historical
1888,7.681305,16.555908,26.036407,historical
1889,6.9542847,15.280273,23.845032,historical
1890,7.0999756,15.622192,25.117401,historical
1891,8.178619,15.526611,23.609528,historical
1892,8.582794,16.566895,25.390991,historical
1893,6.5977783,16.477234,25.32129,historical
1894,8.435822,15.972961,26.209534,historical
1895,8.780701,15.524231,26.174133,historical
1896,9.705566,15.611877,23.517761,historical
1897,8.981506,16.448608,25.568817,historical
1898,6.78479,15.911255,24.382019,historical
1899,4.620178,15.082764,23.601105,historical
1900,7.42749,15.890259,24.751678,historical
1901,7.722595,15.514069,24.810669,historical
1902,11.583099,17.260406,25.702301,historical
1903,6.822937,14.511536,24.230011,historical
1904,7.6286926,17.209595,25.398895,historical
1905,5.4400635,16.217072,25.954132,historical
1906,8.970001,16.031555,23.296906,historical
1907,8.591827,16.06131,25.191895,historical
